site_key,external_large_code,external_large_label,external_middle_code,external_middle_label,external_small_code,external_small_label,internal_large,internal_small,enabled,note
doda,12,医療系専門職,1201,研究,120101,研究（シーズ探索・スクリーニング）,素材・化学・食品・医薬,研究開発（医薬・バイオ）,true,
doda,12,医療系専門職,1201,研究,120104,非臨床研究（薬物動態・GLP）,素材・化学・食品・医薬,安全性／薬理・毒性,true,
doda,12,医療系専門職,1201,研究,120105,非臨床研究（安全性・毒性・GLP）,素材・化学・食品・医薬,安全性／薬理・毒性,true,
doda,12,医療系専門職,1201,研究,120106,製剤研究（処方設計）,素材・化学・食品・医薬,研究開発（医薬・バイオ）,true,
doda,12,医療系専門職,1201,研究,120108,研究（基礎研究）,素材・化学・食品・医薬,研究開発（医薬・バイオ）,true,
doda,12,医療系専門職,1201,研究,120110,非臨床研究（薬理・GLP）,素材・化学・食品・医薬,安全性／薬理・毒性,true,
doda,12,医療系専門職,1201,研究,120111,分析研究,素材・化学・食品・医薬,分析技術／評価,true,
doda,12,医療系専門職,1201,研究,120112,研究（バイオインフォマティクス）,素材・化学・食品・医薬,研究開発（医薬・バイオ）,true,
doda,12,医療系専門職,1201,研究,120113,製剤研究（スケールアップ・工業化）,素材・化学・食品・医薬,プロセス開発／スケールアップ,true,
doda,12,医療系専門職,1201,研究,120114,製造プロセス・工法開発（再生医療製品）,素材・化学・食品・医薬,プロセス開発／スケールアップ,true,
doda,12,医療系専門職,1202,臨床開発,120201,臨床企画（プロトコル作成）,素材・化学・食品・医薬,研究開発（医薬・バイオ）,true,
doda,12,医療系専門職,1202,臨床開発,120202,スタディマネージャー・プロジェクトマネジャー,素材・化学・食品・医薬,研究開発（医薬・バイオ）,true,
doda,12,医療系専門職,1202,臨床開発,120203,CRA（臨床開発モニター）,素材・化学・食品・医薬,研究開発（医薬・バイオ）,true,
doda,12,医療系専門職,1202,臨床開発,120204,臨床研究,素材・化学・食品・医薬,研究開発（医薬・バイオ）,true,
doda,12,医療系専門職,1202,臨床開発,120205,CRC（治験コーディネーター）,素材・化学・食品・医薬,研究開発（医薬・バイオ）,true,
doda,12,医療系専門職,1202,臨床開発,120206,統計解析,データ・AI,データアナリスト,true,
doda,12,医療系専門職,1202,臨床開発,120207,DM（臨床研究データマネジメント）,データ・AI,データアナリスト,true,
doda,12,医療系専門職,1202,臨床開発,120208,QC（臨床開発QC）,素材・化学・食品・医薬,品質管理（分析・評価）,true,
doda,12,医療系専門職,1202,臨床開発,120209,GCP監査・QA（臨床開発QA）,素材・化学・食品・医薬,品質保証（GMP／ISO）,true,
doda,12,医療系専門職,1202,臨床開発,120211,臨床薬理,素材・化学・食品・医薬,安全性／薬理・毒性,true,
doda,12,医療系専門職,1202,臨床開発,120212,MW（メディカルライティング）,素材・化学・食品・医薬,その他,true,
doda,12,医療系専門職,1202,臨床開発,120213,SMA（治験事務局）,事務・アシスタント,医療事務,true,
doda,12,医療系専門職,1202,臨床開発,120215,メディカルドクター（クリニカル・臨床開発）,医療・介護・福祉,医師,true,
doda,12,医療系専門職,1202,臨床開発,120216,PV（安全性情報担当）,素材・化学・食品・医薬,安全性／薬理・毒性,true,
