site_key,external_large_code,external_large_label,external_middle_code,external_middle_label,external_small_code,external_small_label,internal_large,internal_small,enabled,note
doda,01,営業職,0104,IT営業,010401,IT法人営業（直販）,営業,ソリューション営業,true,""
doda,01,営業職,0104,IT営業,010402,IT法人営業（代理店）,営業,チャネル／代理店営業,true,""
doda,01,営業職,0104,IT営業,010404,Web系（IT）ソリューション営業,営業,ソリューション営業,true,""
doda,01,営業職,0104,IT営業,010405,IT個人営業,営業,個人営業（BtoC）,true,""
doda,01,営業職,0105,半導体・電子部品・エレクトロニクス製品営業,010501,半導体・電子部品・エレクトロニクス製品営業（国内）,営業,法人営業（既存・ルート）,true,""
doda,01,営業職,0105,半導体・電子部品・エレクトロニクス製品営業,010502,半導体・電子部品・エレクトロニクス製品営業（海外）,営業,海外営業,true,""
doda,01,営業職,0106,自動車・装置・機械製品営業,010601,装置・工作機械・産業機械営業（国内）,営業,法人営業（既存・ルート）,true,""
doda,01,営業職,0106,自動車・装置・機械製品営業,010602,装置・工作機械・産業機械営業（海外）,営業,海外営業,true,""
doda,01,営業職,0106,自動車・装置・機械製品営業,010603,精密機械・計測機器・分析機器・光学製品営業（国内）,営業,法人営業（既存・ルート）,true,""
doda,01,営業職,0106,自動車・装置・機械製品営業,010604,精密機械・計測機器・分析機器・光学製品営業（海外）,営業,海外営業,true,""
doda,01,営業職,0106,自動車・装置・機械製品営業,010605,自動車・建機・自動車部品営業（国内）,営業,法人営業（既存・ルート）,true,""
doda,01,営業職,0106,自動車・装置・機械製品営業,010606,自動車・建機・自動車部品営業（海外）,営業,海外営業,true,""
doda,01,営業職,0107,原料・素材・化学製品営業,010701,原料・素材・化学製品営業（国内）,営業,法人営業（既存・ルート）,true,""
doda,01,営業職,0107,原料・素材・化学製品営業,010702,原料・素材・化学製品営業（海外）,営業,海外営業,true,""
doda,01,営業職,0108,医療営業,010801,MR（製薬会社）,営業,MR（医薬情報担当者）,true,""
doda,01,営業職,0108,医療営業,010802,医療機器営業（メディカル機器営業）,営業,医療機器営業,true,""
doda,01,営業職,0108,医療営業,010803,OTC（一般用医薬品）,営業,個人営業（BtoC）,true,""
doda,01,営業職,0108,医療営業,010804,MS・医薬品卸・代理店,営業,チャネル／代理店営業,true,""
doda,01,営業職,0108,医療営業,010805,ライフサイエンス（理化学機器・試薬）,営業,医療機器営業,true,""
doda,01,営業職,0108,医療営業,010806,その他医療系営業,営業,その他,true,""
doda,01,営業職,0109,食品・日用品・消費財営業,010901,食品・飲料営業（国内）,営業,法人営業（既存・ルート）,true,""
doda,01,営業職,0109,食品・日用品・消費財営業,010902,日用品・化粧品営業（国内）,営業,法人営業（既存・ルート）,true,""
doda,01,営業職,0109,食品・日用品・消費財営業,010903,その他消費財営業（国内）,営業,法人営業（既存・ルート）,true,""
doda,01,営業職,0109,食品・日用品・消費財営業,010904,食品・飲料・日用品・化粧品・その他消費財営業（海外）,営業,海外営業,true,""
doda,01,営業職,0110,建設・土木・不動産・住宅営業,011001,建設・不動産法人営業,営業,不動産営業（売買）,true,""
doda,01,営業職,0110,建設・土木・不動産・住宅営業,011002,建設・不動産個人営業,営業,不動産営業（賃貸）,true,""
doda,01,営業職,0111,金融営業,011101,金融法人営業,営業,金融／証券／保険営業,true,""
doda,01,営業職,0111,金融営業,011102,金融個人営業・ファイナンシャルプランナー,営業,金融／証券／保険営業,true,""
doda,01,営業職,0112,広告・メディア営業,011201,広告・メディア法人営業（新規中心）,営業,広告／メディア営業,true,""
doda,01,営業職,0112,広告・メディア営業,011202,広告・メディア法人営業（既存・ルートセールス中心）,営業,広告／メディア営業,true,""
doda,01,営業職,0112,広告・メディア営業,011203,広告・メディア代理店営業・パートナーセールス,営業,広告／メディア営業,true,""
doda,01,営業職,0112,広告・メディア営業,011204,広告・メディア個人営業,営業,広告／メディア営業,true,""
doda,01,営業職,0112,広告・メディア営業,011205,広告・メディア海外営業,営業,広告／メディア営業,true,""
doda,01,営業職,0113,人材・求人広告営業,011301,派遣営業,営業,人材紹介・派遣営業,true,""
doda,01,営業職,0113,人材・求人広告営業,011302,派遣コーディネーター,営業,人材紹介・派遣営業,true,""
doda,01,営業職,0113,人材・求人広告営業,011303,人材紹介営業,営業,人材紹介・派遣営業,true,""
doda,01,営業職,0113,人材・求人広告営業,011304,求人広告営業,営業,人材紹介・派遣営業,true,""
doda,01,営業職,0113,人材・求人広告営業,011305,キャリアコンサルタント・キャリアアドバイザー,営業,人材紹介・派遣営業,true,""
doda,01,営業職,0113,人材・求人広告営業,011306,ブティック・エグゼクティブ,営業,人材紹介・派遣営業,true,""
doda,01,営業職,0113,人材・求人広告営業,011307,その他人材・コーディネーター・求人広告営業,営業,人材紹介・派遣営業,true,""
doda,01,営業職,0114,その他営業職,011401,その他法人営業（新規中心）,営業,法人営業（新規）,true,""
doda,01,営業職,0114,その他営業職,011402,その他法人営業（既存・ルートセールス中心）,営業,法人営業（既存・ルート）,true,""
doda,01,営業職,0114,その他営業職,011403,その他代理店営業・パートナーセールス,営業,チャネル／代理店営業,true,""
doda,01,営業職,0114,その他営業職,011404,その他個人営業,営業,個人営業（BtoC）,true,""
doda,01,営業職,0114,その他営業職,011405,その他海外営業,営業,海外営業,true,""
doda,02,企画・管理,0201,マーケティング・商品企画・広告宣伝,020111,商品企画・サービス企画,企画・マーケティング,プロダクト企画／サービス企画,true,""
doda,02,企画・管理,0201,マーケティング・商品企画・広告宣伝,020113,広告宣伝,企画・マーケティング,マーケティング（総合）,true,""
doda,02,企画・管理,0201,マーケティング・商品企画・広告宣伝,020115,販売促進・PR,企画・マーケティング,オフライン販促／SP,true,""
doda,02,企画・管理,0201,マーケティング・商品企画・広告宣伝,020116,MD,販売・サービス・接客,MD（マーチャンダイザー）,true,""
doda,02,企画・管理,0201,マーケティング・商品企画・広告宣伝,020118,Webマーケティング（ネット広告・販促PRなど）,企画・マーケティング,デジタルマーケティング,true,""
doda,02,企画・管理,0201,マーケティング・商品企画・広告宣伝,020119,その他マーケティング・商品企画・広告宣伝,企画・マーケティング,その他,true,""
doda,02,企画・管理,0202,経理・財務・会計・内部統制,020201,経理（財務会計）,経営・コーポレート,経理（単体決算）,true,""
doda,02,企画・管理,0202,経理・財務・会計・内部統制,020202,財務,経営・コーポレート,財務／資金調達,true,""
doda,02,企画・管理,0202,経理・財務・会計・内部統制,020212,管理会計,経営・コーポレート,管理会計／FP&A,true,""
doda,02,企画・管理,0202,経理・財務・会計・内部統制,020213,内部統制,経営・コーポレート,内部監査／内部統制,true,""
doda,02,企画・管理,0203,総務・法務・知財・内部監査,020311,総務,経営・コーポレート,総務,true,""
doda,02,企画・管理,0203,総務・法務・知財・内部監査,020313,法務,経営・コーポレート,法務（企業法務）,true,""
doda,02,企画・管理,0203,総務・法務・知財・内部監査,020314,知的財産（知財）・特許,経営・コーポレート,知的財産／特許,true,""
doda,02,企画・管理,0203,総務・法務・知財・内部監査,020316,内部監査,経営・コーポレート,内部監査／内部統制,true,""
doda,02,企画・管理,0204,物流管理（企画）・購買・貿易,020401,購買・調達・バイヤー・MD,物流・購買・SCM,購買／調達（直接材）,true,""
doda,02,企画・管理,0204,物流管理（企画）・購買・貿易,020402,間接購買・総務購買,物流・購買・SCM,購買／調達（間接材）,true,""
doda,02,企画・管理,0204,物流管理（企画）・購買・貿易,020404,物流管理（ベンダー管理・配送管理・受発注管理など）,物流・購買・SCM,ロジスティクス企画,true,""
doda,02,企画・管理,0204,物流管理（企画）・購買・貿易,020405,SCM企画・物流企画・需要予測（サプライチェーンマネジメント）,物流・購買・SCM,SCM（需給・在庫計画）,true,""
doda,02,企画・管理,0204,物流管理（企画）・購買・貿易,020406,貿易・国際業務（輸出入業務・通関など）,物流・購買・SCM,通関士／貿易実務,true,""
