site_key,external_large_code,external_large_label,external_middle_code,external_middle_label,external_small_code,external_small_label,internal_large,internal_small,enabled,note
mynavi,11,営業,111,営業・代理店営業・ルートセールス・MR,11105,営業・企画営業（法人向け）,営業,法人営業（新規）,true,
mynavi,11,営業,111,営業・代理店営業・ルートセールス・MR,11107,営業・企画営業（個人向け）,営業,個人営業（BtoC）,true,
mynavi,11,営業,111,営業・代理店営業・ルートセールス・MR,11109,営業マネジャー・営業管理職,営業,営業マネージャー／拠点長,true,
mynavi,11,営業,111,営業・代理店営業・ルートセールス・MR,11110,代理店営業・パートナーセールス,営業,チャネル／代理店営業,true,
mynavi,11,営業,111,営業・代理店営業・ルートセールス・MR,11115,内勤営業・カウンターセールス,営業,インサイドセールス（SDR／BDR）,true,
mynavi,11,営業,111,営業・代理店営業・ルートセールス・MR,11120,ルートセールス・渉外・外商,営業,法人営業（既存・ルート）,true,
mynavi,11,営業,111,営業・代理店営業・ルートセールス・MR,11125,海外営業,営業,海外営業,true,
mynavi,11,営業,111,営業・代理店営業・ルートセールス・MR,11130,メディカル営業（MR・MS・その他）,営業,MR（医薬情報担当者）,true,
mynavi,11,営業,111,営業・代理店営業・ルートセールス・MR,11135,その他営業・代理店営業・ルートセールス・MR関連職,営業,その他,true,
mynavi,11,営業,112,人材コーディネーター・カウンセラー,11205,キャリアカウンセラー,営業,人材紹介・派遣営業,true,
mynavi,11,営業,112,人材コーディネーター・カウンセラー,11210,人材コーディネーター,営業,人材紹介・派遣営業,true,
mynavi,11,営業,113,コールセンター・カスタマーサポート,11305,コールセンター管理・運営,カスタマー・サクセス／サポート,コールセンターSV／品質管理,true,
mynavi,11,営業,113,コールセンター・カスタマーサポート,11310,カスタマーサポート・サポートデスク,カスタマー・サクセス／サポート,カスタマーサポート（B2C）,true,
mynavi,11,営業,113,コールセンター・カスタマーサポート,11315,テクニカルサポート,カスタマー・サクセス／サポート,テクニカルサポート,true,
mynavi,11,営業,113,コールセンター・カスタマーサポート,11320,オペレーター・アポインター,カスタマー・サクセス／サポート,カスタマーサポート（B2C）,true,
mynavi,12,販売・フード・アミューズメント,121,スーパーバイザー・教育担当,12105,スーパーバイザー・エリアマネジャー,販売・サービス・接客,SV／エリアマネージャー,true,
mynavi,12,販売・フード・アミューズメント,121,スーパーバイザー・教育担当,12110,教育・研修トレーナー,販売・サービス・接客,SV／エリアマネージャー,true,
mynavi,12,販売・フード・アミューズメント,125,小売・流通,12505,店長・店長候補（小売・流通系）,販売・サービス・接客,店舗運営／店長,true,
mynavi,12,販売・フード・アミューズメント,125,小売・流通,12510,販売・販売アドバイザー・売り場担当,販売・サービス・接客,販売スタッフ（小売）,true,
mynavi,12,販売・フード・アミューズメント,125,小売・流通,12515,美容部員,販売・サービス・接客,販売スタッフ（小売）,true,
mynavi,12,販売・フード・アミューズメント,125,小売・流通,12520,その他小売・流通関連職,販売・サービス・接客,その他,true,
mynavi,12,販売・フード・アミューズメント,126,フード・アミューズメント,12605,店長・店長候補（フード・アミューズメント系）,販売・サービス・接客,店舗運営／店長,true,
mynavi,12,販売・フード・アミューズメント,126,フード・アミューズメント,12610,ホール・フロアスタッフ,販売・サービス・接客,レストランサービス／ホール,true,
mynavi,12,販売・フード・アミューズメント,126,フード・アミューズメント,12615,調理・調理補助,販売・サービス・接客,調理／シェフ／キッチン,true,
mynavi,12,販売・フード・アミューズメント,126,フード・アミューズメント,12620,その他フード・アミューズメント関連職,販売・サービス・接客,その他,true,
mynavi,13,医療・福祉,131,医療サービス,13105,管理薬剤師・薬剤師・登録販売者,医療・介護・福祉,薬剤師,true,
mynavi,13,医療・福祉,131,医療サービス,13110,医師,医療・介護・福祉,医師,true,
mynavi,13,医療・福祉,131,医療サービス,13115,看護師・准看護師・保健師・助産師,医療・介護・福祉,看護師／准看護師,true,
mynavi,13,医療・福祉,131,医療サービス,13120,歯科医師,医療・介護・福祉,歯科医師,true,
mynavi,13,医療・福祉,131,医療サービス,13125,歯科技工士・歯科衛生士,医療・介護・福祉,その他,true,
