site_key,external_large_code,external_large_label,external_middle_code,external_middle_label,external_small_code,external_small_label,internal_large,internal_small,enabled,note
mynavi,1C,公共サービス,1C1,公務員・警察・消防・自衛隊,1C103,公務員（事務系）,教育・公務・団体,地方公務員,true,
mynavi,1C,公共サービス,1C1,公務員・警察・消防・自衛隊,1C107,公務員（技術系）,教育・公務・団体,地方公務員,true,
mynavi,1C,公共サービス,1C1,公務員・警察・消防・自衛隊,1C115,警察官,教育・公務・団体,自衛官／警察／消防,true,
mynavi,1C,公共サービス,1C1,公務員・警察・消防・自衛隊,1C120,消防士,教育・公務・団体,自衛官／警察／消防,true,
mynavi,1C,公共サービス,1C1,公務員・警察・消防・自衛隊,1C125,自衛隊,教育・公務・団体,自衛官／警察／消防,true,
mynavi,1C,公共サービス,1C2,団体・学校法人職員,1C205,団体職員,教育・公務・団体,NPO／NGO職員,true,
mynavi,1C,公共サービス,1C2,団体・学校法人職員,1C210,学校法人職員,教育・公務・団体,その他,true,
mynavi,1C,公共サービス,1C2,団体・学校法人職員,1C215,公共施設職員（図書館・美術館等）,教育・公務・団体,学芸員／図書館司書,true,
mynavi,1D,管理・事務,1D1,購買・資材・貿易・物流,1D105,購買・資材調達,物流・購買・SCM,購買／調達（直接材）,true,
mynavi,1D,管理・事務,1D1,購買・資材・貿易・物流,1D110,貿易業務・国際業務,物流・購買・SCM,通関士／貿易実務,true,
mynavi,1D,管理・事務,1D1,購買・資材・貿易・物流,1D115,物流企画・物流管理,物流・購買・SCM,ロジスティクス企画,true,
mynavi,1D,管理・事務,1D1,購買・資材・貿易・物流,1D120,商品管理・在庫管理,物流・購買・SCM,在庫管理,true,
mynavi,1D,管理・事務,1D2,経理・財務・会計,1D205,経理・財務,経営・コーポレート,経理（単体決算）,true,
mynavi,1D,管理・事務,1D2,経理・財務・会計,1D210,会計・税務,経営・コーポレート,管理会計／FP&A,true,
mynavi,1D,管理・事務,1D3,人事・総務・法務・広報・IR・内部監査,1D305,総務,経営・コーポレート,総務,true,
mynavi,1D,管理・事務,1D3,人事・総務・法務・広報・IR・内部監査,1D310,人事・労務・採用,経営・コーポレート,人事（労務）,true,
mynavi,1D,管理・事務,1D3,人事・総務・法務・広報・IR・内部監査,1D315,法務・コンプライアンス,経営・コーポレート,法務（企業法務）,true,
mynavi,1D,管理・事務,1D3,人事・総務・法務・広報・IR・内部監査,1D320,知的財産・特許,経営・コーポレート,知的財産／特許,true,
mynavi,1D,管理・事務,1D3,人事・総務・法務・広報・IR・内部監査,1D325,広報,経営・コーポレート,広報／PR,true,
mynavi,1D,管理・事務,1D3,人事・総務・法務・広報・IR・内部監査,1D330,IR,経営・コーポレート,IR,true,
mynavi,1D,管理・事務,1D3,人事・総務・法務・広報・IR・内部監査,1D335,内部監査,経営・コーポレート,内部監査／内部統制,true,
mynavi,1D,管理・事務,1D3,人事・総務・法務・広報・IR・内部監査,1D340,情報セキュリティ,経営・コーポレート,リスクマネジメント,true,
mynavi,1D,管理・事務,1D4,一般事務・受付・秘書,1D405,一般事務・庶務,事務・アシスタント,一般事務,true,
mynavi,1D,管理・事務,1D4,一般事務・受付・秘書,1D410,営業事務・営業アシスタント,事務・アシスタント,営業事務／アドミン,true,
mynavi,1D,管理・事務,1D4,一般事務・受付・秘書,1D415,受付,事務・アシスタント,受付／フロントオフィス,true,
mynavi,1D,管理・事務,1D4,一般事務・受付・秘書,1D420,秘書,事務・アシスタント,秘書／グループセクレタリー,true,
mynavi,1D,管理・事務,1D4,一般事務・受付・秘書,1D425,その他一般事務・アシスタント・受付・秘書関連職,事務・アシスタント,その他,true,
mynavi,1E,美容・ブライダル・ホテル・交通,1E1,エステ・理美容・リラクゼーション,1E105,エステティシャン,販売・サービス・接客,エステティシャン／セラピスト,true,
mynavi,1E,美容・ブライダル・ホテル・交通,1E1,エステ・理美容・リラクゼーション,1E110,理容師・美容師,販売・サービス・接客,理美容,true,
