site_key,external_large_code,external_large_label,external_middle_code,external_middle_label,external_small_code,external_small_label,internal_large,internal_small,enabled,note
type,11,事務・管理部門系,28,事務系,112,一般事務・営業事務・貿易事務,事務・アシスタント,一般事務,true,
type,11,事務・管理部門系,28,事務系,139,営業アシスタント,事務・アシスタント,営業事務／アドミン,true,
type,11,事務・管理部門系,28,事務系,113,秘書・受付事務,事務・アシスタント,秘書／グループセクレタリー,true,
type,11,事務・管理部門系,28,事務系,114,その他 事務・管理部門系関連職,事務・アシスタント,その他,true,
type,11,事務・管理部門系,27,管理部門系,106,総務,経営・コーポレート,総務,true,
type,11,事務・管理部門系,27,管理部門系,105,経営企画・事業企画,経営・コーポレート,経営企画,true,
type,11,事務・管理部門系,27,管理部門系,107,人事・労務管理,経営・コーポレート,人事（労務）,true,
type,11,事務・管理部門系,27,管理部門系,108,経理,経営・コーポレート,経理（単体決算）,true,
type,11,事務・管理部門系,27,管理部門系,109,会計・財務,経営・コーポレート,財務／資金調達,true,
type,11,事務・管理部門系,27,管理部門系,110,知的財産・法務,経営・コーポレート,法務（企業法務）,true,
type,11,事務・管理部門系,27,管理部門系,111,購買・資材調達,物流・購買・SCM,購買／調達（直接材）,true,
type,11,事務・管理部門系,27,管理部門系,138,生産・品質管理（事務系）,製造・ものづくりエンジニア,品質管理（QC）／検査,true,

type,7,クリエイティブ系,21,Web・インターネット関連,122,Webディレクター・Webプロデューサー,クリエイティブ・メディア,その他,true,
type,7,クリエイティブ系,21,Web・インターネット関連,123,Webデザイナー・コーダー・コンテンツ企画,クリエイティブ・メディア,Webデザイナー,true,
type,7,クリエイティブ系,21,Web・インターネット関連,124,ゲームクリエイター・ゲームプランナー,クリエイティブ・メディア,ゲームプランナー,true,
type,7,クリエイティブ系,21,Web・インターネット関連,168,UI・UXデザイナー,クリエイティブ・メディア,UI／UXデザイナー,true,
type,7,クリエイティブ系,21,Web・インターネット関連,169,動画クリエイター・映像クリエイター,クリエイティブ・メディア,動画編集／映像ディレクター,true,
type,7,クリエイティブ系,21,Web・インターネット関連,170,Web運用・アシスタント,クリエイティブ・メディア,その他,true,
type,7,クリエイティブ系,22,その他クリエイティブ関連,150,編集・ライター,クリエイティブ・メディア,コピーライター／コンテンツライター,true,
type,7,クリエイティブ系,22,その他クリエイティブ関連,152,制作進行管理,クリエイティブ・メディア,その他,true,
type,7,クリエイティブ系,22,その他クリエイティブ関連,125,出版・広告・印刷関連,クリエイティブ・メディア,編集（紙・Web）,true,
type,7,クリエイティブ系,22,その他クリエイティブ関連,151,ファッションデザイナー・パタンナー,クリエイティブ・メディア,その他,true,
type,7,クリエイティブ系,22,その他クリエイティブ関連,153,グラフィックデザイナー・イラストレーター,クリエイティブ・メディア,グラフィックデザイナー,true,
type,7,クリエイティブ系,22,その他クリエイティブ関連,127,ファッション・インテリア関連,クリエイティブ・メディア,その他,true,
type,7,クリエイティブ系,22,その他クリエイティブ関連,126,映像・音響・イベント関連,クリエイティブ・メディア,動画編集／映像ディレクター,true,
type,7,クリエイティブ系,22,その他クリエイティブ関連,154,店舗・空間デザイナー,建設・不動産,インテリア／内装設計,true,
type,7,クリエイティブ系,22,その他クリエイティブ関連,128,その他クリエイティブ関連,クリエイティブ・メディア,その他,true,

type,6,企画・マーケティング系,20,企画・マーケティング系,100,マーケティング・営業企画,企画・マーケティング,マーケティング（総合）,true,
type,6,企画・マーケティング系,20,企画・マーケティング系,136,Webマーケティング（Web広告・SEM・SEO）,企画・マーケティング,デジタルマーケティング,true,
type,6,企画・マーケティング系,20,企画・マーケティング系,102,商品開発・商品企画,企画・マーケティング,プロダクト企画／サービス企画,true,
type,6,企画・マーケティング系,20,企画・マーケティング系,103,バイヤー・マーチャンダイザー,販売・サービス・接客,MD（マーチャンダイザー）,true,
type,6,企画・マーケティング系,20,企画・マーケティング系,104,広報・IR,経営・コーポレート,広報／PR,true,
type,6,企画・マーケティング系,20,企画・マーケティング系,137,その他 企画・マーケティング関連職,企画・マーケティング,その他,true,

type,12,土木設計・建築・設備設計,29,土木設計・建築・設備設計,70,建築・設備設計・プラント設計・施工管理,建設・不動産,建築設備設計（電気・機械）,true,
type,12,土木設計・建築・設備設計,29,土木設計・建築・設備設計,71,土木設計・施工管理,建設・不動産,土木設計（道路・橋梁・河川）,true,
type,12,土木設計・建築・設備設計,29,土木設計・建築・設備設計,75,CADオペレーター・その他技術関連職,建設・不動産,その他,true,
type,12,土木設計・建築・設備設計,29,土木設計・建築・設備設計,72,その他建築・設備・土木関連技術者,建設・不動産,その他,true,
type,12,土木設計・建築・設備設計,1007,通信インフラ系エンジニア,45,通信インフラ設計・構築（有線・無線系）,ITエンジニア,ネットワークエンジニア,true,
type,12,土木設計・建築・設備設計,1007,通信インフラ系エンジニア,47,通信インフラ施工・保守・運用,ITエンジニア,ネットワークエンジニア,true,

type,2,電子・電気技術・メカトロ技術者,8,回路・システム設計・メカトロニクス関連技術者,34,要求分析・システム設計,製造・ものづくりエンジニア,電気電子設計,true,
type,2,電子・電気技術・メカトロ技術者,8,回路・システム設計・メカトロニクス関連技術者,35,デジタル回路設計,製造・ものづくりエンジニア,回路設計（アナログ／デジタル）,true,
type,2,電子・電気技術・メカトロ技術者,8,回路・システム設計・メカトロニクス関連技術者,36,アナログ回路設計,製造・ものづくりエンジニア,回路設計（アナログ／デジタル）,true,
type,2,電子・電気技術・メカトロ技術者,8,回路・システム設計・メカトロニクス関連技術者,37,メカトロニクス関連技術者,製造・ものづくりエンジニア,機構設計,true,
type,2,電子・電気技術・メカトロ技術者,9,半導体エンジニア,40,システムLSI設計,製造・ものづくりエンジニア,FPGA／ASIC／LSI設計,true,
type,2,電子・電気技術・メカトロ技術者,9,半導体エンジニア,41,デジタルIC設計,製造・ものづくりエンジニア,FPGA／ASIC／LSI設計,true,
type,2,電子・電気技術・メカトロ技術者,9,半導体エンジニア,42,アナログIC設計,製造・ものづくりエンジニア,FPGA／ASIC／LSI設計,true,
type,2,電子・電気技術・メカトロ技術者,9,半導体エンジニア,43,プロセス開発,製造・ものづくりエンジニア,生産技術,true,
type,2,電子・電気技術・メカトロ技術者,10,光学技術エンジニア,48,光学機器設計・開発,製造・ものづくりエンジニア,機械設計,true,
type,2,電子・電気技術・メカトロ技術者,11,機械・機構設計・金型設計,52,機械・機構設計（自動車・輸送機器・装置・各種部品）,製造・ものづくりエンジニア,機械設計,true,
type,2,電子・電気技術・メカトロ技術者,11,機械・機構設計・金型設計,50,機械・機構設計（電子・精密機器）,製造・ものづくりエンジニア,機構設計,true,
type,2,電子・電気技術・メカトロ技術者,11,機械・機構設計・金型設計,44,電気通信機器設計・開発,製造・ものづくりエンジニア,電気電子設計,true,
type,2,電子・電気技術・メカトロ技術者,11,機械・機構設計・金型設計,53,金型設計,製造・ものづくりエンジニア,製造技術,true,
type,2,電子・電気技術・メカトロ技術者,12,生産技術・品質・生産管理,54,生産技術エンジニア,製造・ものづくりエンジニア,生産技術,true,
type,2,電子・電気技術・メカトロ技術者,12,生産技術・品質・生産管理,55,品質管理・保証（技術系）,製造・ものづくりエンジニア,品質保証（QA）,true,
type,2,電子・電気技術・メカトロ技術者,12,生産技術・品質・生産管理,56,生産管理（技術系）,製造・ものづくりエンジニア,工程設計／IE,true,
type,2,電子・電気技術・メカトロ技術者,13,セールス・サービスエンジニア,57,セールスエンジニア,営業,技術営業（プリセールス）,true,
type,2,電子・電気技術・メカトロ技術者,13,セールス・サービスエンジニア,58,サービスエンジニア,製造・ものづくりエンジニア,フィールドエンジニア（産業機器）,true,
type,2,電子・電気技術・メカトロ技術者,13,セールス・サービスエンジニア,59,FAE・サポートエンジニア,製造・ものづくりエンジニア,テクニカルサポート（製造）,true,
type,2,電子・電気技術・メカトロ技術者,14,基礎・応用研究・工業デザイナー・その他,60,基礎・応用研究・研究開発,製造・ものづくりエンジニア,その他,true,
type,2,電子・電気技術・メカトロ技術者,14,基礎・応用研究・工業デザイナー・その他,62,工業デザイナー,クリエイティブ・メディア,プロダクトデザイナー（デジタル）,true,
type,2,電子・電気技術・メカトロ技術者,14,基礎・応用研究・工業デザイナー・その他,63,その他　電子・電気技術・メカトロ技術関連職,製造・ものづくりエンジニア,その他,true,

type,3,化学・バイオ関連職,15,化学・バイオ関連職,64,化学・素材系研究開発,素材・化学・食品・医薬,研究開発（素材・化学）,true,
type,3,化学・バイオ関連職,15,化学・バイオ関連職,65,化学・素材系製品開発,素材・化学・食品・医薬,プロセス開発／スケールアップ,true,
type,3,化学・バイオ関連職,15,化学・バイオ関連職,66,その他素材・化学関連技術者,素材・化学・食品・医薬,その他,true,
