site_key,external_large_code,external_large_label,external_middle_code,external_middle_label,external_small_code,external_small_label,internal_large,internal_small,enabled,note
womantype,10100,営業・企画・マーケティング系,,,10101,法人営業（BtoB）,営業,法人営業（新規）,true,
womantype,10100,営業・企画・マーケティング系,,,10117,個人営業（BtoC）,営業,個人営業（BtoC）,true,
womantype,10100,営業・企画・マーケティング系,,,10102,ルート営業、ルートセールス,営業,法人営業（既存・ルート）,true,
womantype,10100,営業・企画・マーケティング系,,,10103,内勤営業、カウンターセールス,営業,インサイドセールス（SDR／BDR）,true,
womantype,10100,営業・企画・マーケティング系,,,10130,代理店営業、パートナーセールス,営業,チャネル／代理店営業,true,
womantype,10100,営業・企画・マーケティング系,,,10108,キャリアカウンセラー、人材コーディネーター,営業,人材紹介・派遣営業,true,
womantype,10100,営業・企画・マーケティング系,,,10131,IT営業、技術営業、システム営業,営業,技術営業（プリセールス）,true,
womantype,10100,営業・企画・マーケティング系,,,10119,MR、医療機器営業、医薬品卸,営業,MR（医薬情報担当者）,true,
womantype,10100,営業・企画・マーケティング系,,,10109,コールセンター運営、スーパーバイザー（SV）,カスタマー・サクセス／サポート,コールセンターSV／品質管理,true,
womantype,10100,営業・企画・マーケティング系,,,10110,カスタマーサポート、オペレーター,カスタマー・サクセス／サポート,カスタマーサポート（B2C）,true,
womantype,10100,営業・企画・マーケティング系,,,10132,カスタマーサクセス,カスタマー・サクセス／サポート,カスタマーサクセス（B2B）,true,
womantype,10100,営業・企画・マーケティング系,,,10133,販促企画、営業企画,企画・マーケティング,営業企画,true,
womantype,10100,営業・企画・マーケティング系,,,10134,商品企画、商品開発,企画・マーケティング,プロダクト企画／サービス企画,true,
womantype,10100,営業・企画・マーケティング系,,,10112,マーケティング、広告宣伝,企画・マーケティング,マーケティング（総合）,true,
womantype,10100,営業・企画・マーケティング系,,,10135,広報、IR、PR,経営・コーポレート,広報／PR,true,
womantype,10100,営業・企画・マーケティング系,,,10136,リサーチャー、市場調査、マーケティングリサーチ,企画・マーケティング,リサーチャー／市場調査,true,
womantype,10100,営業・企画・マーケティング系,,,10137,Webマーケティング（Web広告、SEO）,企画・マーケティング,デジタルマーケティング,true,
womantype,10100,営業・企画・マーケティング系,,,10116,その他営業関連職,営業,その他,true,
womantype,10200,サービス・販売系,,,10201,エリアマネージャー,販売・サービス・接客,SV／エリアマネージャー,true,
womantype,10200,サービス・販売系,,,10202,店長、支配人,販売・サービス・接客,店舗運営／店長,true,
womantype,10200,サービス・販売系,,,10211,接客・販売（アパレル、雑貨、ジュエリー）,販売・サービス・接客,販売スタッフ（小売）,true,
womantype,10200,サービス・販売系,,,10212,接客・販売（コスメ、化粧品）、美容部員,販売・サービス・接客,販売スタッフ（小売）,true,
womantype,10200,サービス・販売系,,,10203,接客・販売（飲食）,販売・サービス・接客,レストランサービス／ホール,true,
womantype,10200,サービス・販売系,,,10206,エステティシャン、セラピスト,販売・サービス・接客,エステティシャン／セラピスト,true,
womantype,10200,サービス・販売系,,,10230,美容カウンセラー,販売・サービス・接客,エステティシャン／セラピスト,true,
womantype,10200,サービス・販売系,,,10205,美容師、ヘアメイク、ネイリスト、スタイリスト,販売・サービス・接客,理美容,true,
womantype,10200,サービス・販売系,,,10209,ブライダル・ウェディングプランナー,販売・サービス・接客,ブライダル（プランナー）,true,
womantype,10200,サービス・販売系,,,10231,トレーナー、スポーツインストラクター,販売・サービス・接客,フィットネスインストラクター,true,
womantype,10200,サービス・販売系,,,10208,ホテルフロント、レセプション、コンシェルジュ,販売・サービス・接客,ホテルフロント／コンシェルジュ,true,
womantype,10200,サービス・販売系,,,10213,カウンタースタッフ,販売・サービス・接客,販売スタッフ（小売）,true,
womantype,10200,サービス・販売系,,,10232,製造・軽作業スタッフ,製造・ものづくりエンジニア,製造技術,true,
womantype,10200,サービス・販売系,,,10233,ドライバー、配達員,販売・サービス・接客,運輸・配送ドライバー,true,
womantype,10200,サービス・販売系,,,10210,その他サービス・販売関連職,販売・サービス・接客,その他,true,
womantype,10300,クリエイティブ系,,,10302,Webプロデューサー、Webディレクター,クリエイティブ・メディア,Webデザイナー,true,
womantype,10300,クリエイティブ系,,,10330,Webサイト・ECサイト運営,企画・マーケティング,EC運営／EC企画,true,
womantype,10300,クリエイティブ系,,,10304,Webデザイナー、グラフィックデザイナー、イラストレーター,クリエイティブ・メディア,Webデザイナー,true,
womantype,10300,クリエイティブ系,,,10331,クリエイティブディレクター、アートディレクター,クリエイティブ・メディア,アートディレクター,true,
womantype,10300,クリエイティブ系,,,10309,ライター、記者、編集、校正、出版関連,クリエイティブ・メディア,編集（紙・Web）,true,
womantype,10300,クリエイティブ系,,,10315,ファッション・インテリア関連職,クリエイティブ・メディア,グラフィックデザイナー,true,
womantype,10300,クリエイティブ系,,,10314,その他クリエイティブ関連職,クリエイティブ・メディア,その他,true,
womantype,10400,事務・経理・人事系,,,10401,経営企画、事業企画、事業開発,経営・コーポレート,経営企画,true,
womantype,10400,事務・経理・人事系,,,10402,経理、会計、財務,経営・コーポレート,経理（単体決算）,true,
womantype,10400,事務・経理・人事系,,,10403,総務,経営・コーポレート,総務,true,
womantype,10400,事務・経理・人事系,,,10430,人事、労務、採用,経営・コーポレート,人事（採用）,true,
womantype,10400,事務・経理・人事系,,,10404,法務、知財、特許,経営・コーポレート,法務（企業法務）,true,
womantype,10400,事務・経理・人事系,,,10410,秘書,経営・コーポレート,秘書／役員秘書,true,
womantype,10400,事務・経理・人事系,,,10415,受付,事務・アシスタント,受付／フロントオフィス,true,
womantype,10400,事務・経理・人事系,,,10406,一般事務,事務・アシスタント,一般事務,true,
womantype,10400,事務・経理・人事系,,,10407,営業事務、営業アシスタント,事務・アシスタント,営業事務／アドミン,true,
womantype,10400,事務・経理・人事系,,,10408,貿易事務、国際事務、英文事務,事務・アシスタント,貿易事務（輸出入）,true,
womantype,10400,事務・経理・人事系,,,10412,法律事務、特許事務,事務・アシスタント,法務アシスタント,true,
womantype,10400,事務・経理・人事系,,,10413,金融事務、銀行事務、会計事務,事務・アシスタント,金融事務（銀行／証券／保険）,true,
womantype,10400,事務・経理・人事系,,,10416,生産管理、在庫管理、品質管理、品質保証,物流・購買・SCM,在庫管理,true,
womantype,10400,事務・経理・人事系,,,10411,その他事務関連職,事務・アシスタント,その他,true,
womantype,10500,技術・専門職系、その他,,,10530,電気・半導体・機械関連技術者,製造・ものづくりエンジニア,機械設計,true,
